step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score,energy_available_kw,energy_demand_kw,energy_curtailment_kw,chargers_unpowered,vehicles_requeued_energy
0,2024-01-15 06:01:00,4f084c73,0,0,0,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,0.0,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.7999999999999999,0.0,0.0,0.0,0,0
1,2024-01-15 06:02:00,4f084c73,0,0,0,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,0.0,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.7999999999999999,0.0,0.0,0.0,0,0
2,2024-01-15 06:03:00,4f084c73,0,0,0,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,0.0,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.7999999999999999,0.0,0.0,0.0,0,0
3,2024-01-15 06:04:00,4f084c73,0,0,1,1,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,55.95200096534878,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9119040019306975,0.0,0.0,0.0,0,0
4,2024-01-15 06:05:00,4f084c73,0,0,3,2,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,72.81456136576537,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9456291227315307,0.0,0.0,0.0,0,0
5,2024-01-15 06:06:00,4f084c73,0,0,3,0,0,0,0.0,0,0,180,0.0,0.0,0.0,0.0,30,0,0,71.93430009844474,0,0,0.0,0.0,0,0.9,30.0,0.0,0.0,1.0,0.9438686001968895,0.0,0.0,0.0,0,0
